dagiː	dagiːf	ADJ;PSS1S
vərtalot	vərtalot	N;NOM;SG
hamɲiː	hamɲiːlə	N;ACC;INDF;PL
tuksa	tuksahinəw	V;SEMEL;FIN;IND;PL;1+EXCL;PST;ACT
ilanma	ilanma	ADJ
muː	muːduː	N;DAT;SG
ədi	ədinunmi	N;COM;SG;PSSRS
ŋənə		V;FIN;IND;PST;PASS
ďawut͡ʃa	ďawut͡ʃaďəŋkiːtin	V;IPFV;FIN;IND;PL;3;PST+RMT;ACT
ədin	ədin	N;NOM;SG
ďəw	ďəw	N;NOM;SG
uldiː	uldiːďəďən	V;IPFV;FIN;IND;SG;3;ACT
bargidaː	bargidaːliːn	N;PROL;SG;PSS3S
kormeː	kormeːdukin	N;ABL;SG;PSS3S
soliːloː	soliːloː	N;NOM;SG
oː	oːrən	V;FIN;IND;SG;3;PST;ACT
du	dutin	N;NOM;SG;PSS3P
duku	dukuŋkiːtin	V;FIN;IND;PL;3;PST+RMT;ACT
haŋkə	haŋkərwər	N;NOM;PL;PSSRP
o	orən	V;FIN;IND;SG;3;PST;ACT
ikoː	ikoːďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
oro	orolwə	N;ACC;DEF;PL
jaŋgu	jaŋgurə	V;FIN;IND;PL;3;PST;ACT
ollomo	ollomohinəw	V;SEMEL;FIN;IND;PL;1+EXCL;PST;ACT
oron	oronwi	N;NOM;SG;PSSRS
ətə	ətərəw	V;FIN;IND;PL;1+EXCL;FUT+IMMED;ACT
muːkoːn	muːkoːnt	N;INS;SG
waː	waːrən	V;FIN;IND;SG;3;PST;ACT
naptara	naptararə	V;FIN;IND;PL;3;PST;ACT
tukti	tuktirən	V;FIN;IND;SG;3;PST;ACT
nimɲaːkaːn	nimɲaːkaːnwə	N;ACC;DEF;SG
bi	birən	V;FIN;IND;SG;3;PST;ACT
əmə	əmərəw	V;FIN;IND;PL;1+EXCL;PST;ACT
maluː	maluːduː	N;DAT;SG
hoγorkiː	hoγorkiːliː	N;PROL;SG
baji	bajil	ADJ;PL
jewgenija	jewgenija	N;NOM;SG
uγut͡ʃak	uγut͡ʃakwər	N;NOM;SG;PSSRP
əwiːwun	əwiːwun	N;NOM;SG
gorot	gorotlaː	N;TERM;SG
o	oŋkiːwun	V;FIN;IND;PL;1+EXCL;PST+RMT;ACT
dulinma	dulinman	ADJ;PSS3S
ďəptilə	ďəptiləlwə	N;ACC;DEF;PL
hukti	huktihinəm	V;SEMEL;FIN;IND;SG;1;PST;ACT
gu	gurən	V;FIN;IND;SG;3;PST;ACT
ďələki	ďələkilwə	N;ACC;DEF;PL
lawaːdaːp	lawaːdaːpďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
abat͡ʃiː	abat͡ʃiːwə	N;ACC;DEF;SG
talu	taluwə	N;ACC;DEF;SG
ďaldaː	ďaldaːm	V;FIN;IND;SG;1;PST;ACT
in		V;IPFV;FIN;COND;PL;3;ACT
tələ	tələďəŋoːw	V;FIN;IND;SG;1;FUT;ACT
ahiː	ahiː	N;NOM;SG
nidim	nidimduː	N;DAT;SG
vnis	vnistkiː	N;ALL;SG
gənnəː	gənnəːrən	V;FIN;IND;SG;3;PST;ACT
ďəgdəː	ďəgdəː	N;NOM;SG
krasnojarska	krasnojarskalaː	N;TERM;SG
əwədit	əwədit	ADJ
ə	ərən	V;FIN;IND;SG;3;PST;ACT
oːha	oːhaŋiltin	N;NOM;PL;ALN+PSS3P
iɲ	iɲďəkəldu	V;IPFV;FIN;IMP;PL;2;ACT
bi		V;FIN;COND;SG;2;ACT
komojəmi	komojəmiwə	N;ACC;DEF;SG
tirga	tirgarən	V;FIN;IND;SG;3;PST;ACT
śiruː	śiruːw	N;NOM;SG;PSS1S
təγə		V;DUR;FIN;IMP;PL;2;ACT
holiːləː	holiːləː	N;NOM;SG
ə	ə	N;NOM;SG
waːnaː		V;SEMEL;FIN;IND;SG;2;PST;ACT
ɲikə	ɲikət͡ʃos	V;FIN;IND;SG;2;PST;ACT
ə	ərə	V;FIN;IND;PL;3;PST;ACT
gun	gunrən	V;FIN;IND;SG;3;PST;ACT
pesoki	pesokit	N;INS;SG
ulgut͡ʃoː		V;DUR;FIN;IND;PL;1+EXCL;PST;RECP;ACT
hawal	hawalďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
makarit͡ʃ	makarit͡ʃ	N;NOM;SG
ə	əďən	V;FIN;IND;SG;3;FUT+IMMED;ACT
ollomiːmniː	ollomiːmniːəl	V;FIN;IND;PL;ACT
kujumbə	kujumbəduː	N;DAT;SG
hiśi	hiśihinən	V;SEMEL;FIN;IND;SG;3;PST;ACT
uwaʒaśi	uwaʒaśiŋkiːtin	V;FIN;IND;PL;3;PST+RMT;ACT
ir	irtkiː	N;ALL;SG
metər	metər	N;NOM;SG
gənnə	gənnəm	V;FIN;IND;SG;1;PST;ACT
it͡ʃə	it͡ʃətt͡ʃəm	V;DUR;IPFV;FIN;IND;SG;1;PRS;ACT
uliː	uliːďəŋkiːwun	V;IPFV;FIN;IND;PL;1+EXCL;PST+RMT;ACT
ďu	ďulwi	N;NOM;PL;PSS1S
